"export_vals","method","metric","n","sx","sy","sxy","signal","scenario_num","n_sims","datetime"
0.0758,"segmentation","power",400,1,1,0,1,8,10000,2025-10-23 14:50:24
0.0782,"segmentation","power",400,1,1,0,1,18,10000,2025-10-23 14:50:41
0.0493,"segmentation","power",400,1,1,0,1,19,10000,2025-10-23 14:50:59
0.056,"segmentation-ece","power",400,1,1,0,1,8,10000,2025-10-23 14:51:25
0.0554,"segmentation-ece","power",400,1,1,0,1,18,10000,2025-10-23 14:51:52
0.0548,"segmentation-ece","power",400,1,1,0,1,19,10000,2025-10-23 14:52:19
0.078,"segmentation","power",400,1,1,0,1,8,10000,2025-10-23 14:52:38
0.0782,"segmentation","power",400,1,1,0,1,18,10000,2025-10-23 14:52:57
0.0493,"segmentation","power",400,1,1,0,1,19,10000,2025-10-23 14:53:15
0.1472,"segmentation","power",1000,1,1,0,1,8,10000,2025-10-23 14:53:55
0.0547,"segmentation","power",1000,1,1,0,1,18,10000,2025-10-23 14:54:26
0.055,"segmentation","power",1000,1,1,0,1,19,10000,2025-10-23 14:54:57
0.053,"segmentation-ece","power",1000,1,1,0,1,8,10000,2025-10-23 14:55:40
0.0541,"segmentation-ece","power",1000,1,1,0,1,18,10000,2025-10-23 14:56:20
0.0543,"segmentation-ece","power",1000,1,1,0,1,19,10000,2025-10-23 14:57:00
0.1469,"segmentation","power",1000,1,1,0,1,8,10000,2025-10-23 14:57:31
0.0547,"segmentation","power",1000,1,1,0,1,18,10000,2025-10-23 14:58:00
0.055,"segmentation","power",1000,1,1,0,1,19,10000,2025-10-23 14:58:31
0.9964,"segmentation","power",5000,1,1,0,1,8,10000,2025-10-23 15:00:19
0.0575,"segmentation","power",5000,1,1,0,1,18,10000,2025-10-23 15:02:03
0.0504,"segmentation","power",5000,1,1,0,1,19,10000,2025-10-23 15:03:43
0.056,"segmentation-ece","power",5000,1,1,0,1,8,10000,2025-10-23 15:06:03
0.052,"segmentation-ece","power",5000,1,1,0,1,18,10000,2025-10-23 15:08:24
0.053,"segmentation-ece","power",5000,1,1,0,1,19,10000,2025-10-23 15:10:32
0.9969,"segmentation","power",5000,1,1,0,1,8,10000,2025-10-23 15:12:18
0.0575,"segmentation","power",5000,1,1,0,1,18,10000,2025-10-23 15:14:03
0.0504,"segmentation","power",5000,1,1,0,1,19,10000,2025-10-23 15:15:39
0.9993,"segmentation","power",400,1,1,0,1,20,10000,2025-10-23 15:44:17
0.0372,"segmentation","power",400,1,1,0,1,21,10000,2025-10-23 15:44:37
0.0628,"segmentation-ece","power",400,1,1,0,1,20,10000,2025-10-23 15:45:03
0.0535,"segmentation-ece","power",400,1,1,0,1,21,10000,2025-10-23 15:45:29
0.0718,"ece","power",400,1,1,0,1,20,10000,2025-10-23 15:45:38
0.0586,"ece","power",400,1,1,0,1,21,10000,2025-10-23 15:45:48
1,"segmentation","power",1000,1,1,0,1,20,10000,2025-10-23 15:46:15
0.0374,"segmentation","power",1000,1,1,0,1,21,10000,2025-10-23 15:46:41
0.0824,"segmentation-ece","power",1000,1,1,0,1,20,10000,2025-10-23 15:47:21
0.0515,"segmentation-ece","power",1000,1,1,0,1,21,10000,2025-10-23 15:48:01
0.0925,"ece","power",1000,1,1,0,1,20,10000,2025-10-23 15:48:12
0.0519,"ece","power",1000,1,1,0,1,21,10000,2025-10-23 15:48:24
1,"segmentation","power",5000,1,1,0,1,20,10000,2025-10-23 15:50:26
0.0355,"segmentation","power",5000,1,1,0,1,21,10000,2025-10-23 15:52:30
0.2381,"segmentation-ece","power",5000,1,1,0,1,20,10000,2025-10-23 15:55:08
0.0547,"segmentation-ece","power",5000,1,1,0,1,21,10000,2025-10-23 15:57:43
0.2448,"ece","power",5000,1,1,0,1,20,10000,2025-10-23 15:58:11
0.0509,"ece","power",5000,1,1,0,1,21,10000,2025-10-23 15:58:40
